t	P_kN	v4_mm	sigma1	sigma2	sigma3	sigma4
1.366834170854271280e+00	6.677920854271354756e+01	-1.039896657079253686e+02	1.854443704455223383e+02	-1.899497487437186010e+02	-1.764878764599997112e+02	1.278638377573393257e+02
1.376884422110552730e+00	6.571922110552760898e+01	-1.023390360935138403e+02	1.825008090098790774e+02	-1.869346733668341471e+02	-1.736864815955552217e+02	1.258342530310322189e+02
1.386934673366834181e+00	6.465923366834168462e+01	-1.006884064791023263e+02	1.795572475742358449e+02	-1.839195979899497502e+02	-1.708850867311107322e+02	1.238046683047253111e+02
1.396984924623115631e+00	6.359924623115574605e+01	-9.903777686469079811e+01	1.766136861385926693e+02	-1.809045226130653248e+02	-1.680836918666662996e+02	1.217750835784182186e+02
1.407035175879397082e+00	6.253925879396981458e+01	-9.738714725027928409e+01	1.736701247029494652e+02	-1.778894472361808994e+02	-1.652822970022218385e+02	1.197454988521112824e+02
1.417085427135678311e+00	6.147927135678390442e+01	-9.573651763586781271e+01	1.707265632673063180e+02	-1.748743718592965024e+02	-1.624809021377774911e+02	1.177159141258045167e+02
1.427135678391959761e+00	6.041928391959796585e+01	-9.408588802145628449e+01	1.677830018316630571e+02	-1.718592964824120202e+02	-1.596795072733330301e+02	1.156863293994974100e+02
1.437185929648241212e+00	5.935929648241203438e+01	-9.243525840704477048e+01	1.648394403960198247e+02	-1.688442211055276516e+02	-1.568781124088885690e+02	1.136567446731905022e+02
1.447236180904522662e+00	5.829930904522610291e+01	-9.078462879263322804e+01	1.618958789603765638e+02	-1.658291457286431978e+02	-1.540767175444440227e+02	1.116271599468835092e+02
1.457286432160804113e+00	5.723932160804017144e+01	-8.913399917822172824e+01	1.589523175247333882e+02	-1.628140703517587724e+02	-1.512753226799997606e+02	1.095975752205765303e+02
1.467336683417085341e+00	5.617933417085425418e+01	-8.748336956381024265e+01	1.560087560890902125e+02	-1.597989949748744323e+02	-1.484739278155553563e+02	1.075679904942695089e+02
1.477386934673366792e+00	5.511934673366832271e+01	-8.583273994939870022e+01	1.530651946534469232e+02	-1.567839195979899785e+02	-1.456725329511108669e+02	1.055384057679625158e+02
1.487437185929648242e+00	5.405935929648239124e+01	-8.418211033498718621e+01	1.501216332178037476e+02	-1.537688442211055246e+02	-1.428711380866664058e+02	1.035088210416555370e+02
1.497487437185929693e+00	5.299937185929645977e+01	-8.253148072057567219e+01	1.471780717821605151e+02	-1.507537688442210708e+02	-1.400697432222219447e+02	1.014792363153486292e+02
1.507537688442211143e+00	5.193938442211052120e+01	-8.088085110616415818e+01	1.442345103465173395e+02	-1.477386934673366738e+02	-1.372683483577774837e+02	9.944965158904163616e+01
1.517587939698492594e+00	5.087939698492458973e+01	-7.923022149175262996e+01	1.412909489108741354e+02	-1.447236180904522200e+02	-1.344669534933330226e+02	9.742006686273461469e+01
1.527638190954773822e+00	4.981940954773867958e+01	-7.757959187734114437e+01	1.383473874752309030e+02	-1.417085427135678515e+02	-1.316655586288886752e+02	9.539048213642773533e+01
1.537688442211055273e+00	4.875942211055274811e+01	-7.592896226292964457e+01	1.354038260395877273e+02	-1.386934673366834545e+02	-1.288641637644442142e+02	9.336089741012079912e+01
1.547738693467336724e+00	4.769943467336681664e+01	-7.427833264851811634e+01	1.324602646039445233e+02	-1.356783919597990007e+02	-1.260627688999997673e+02	9.133131268381373502e+01
1.557788944723618174e+00	4.663944723618087096e+01	-7.262770303410657391e+01	1.295167031683012624e+02	-1.326633165829145469e+02	-1.232613740355553205e+02	8.930172795750668513e+01
1.567839195979899625e+00	4.557945979899493949e+01	-7.097707341969505990e+01	1.265731417326580441e+02	-1.296482412060301215e+02	-1.204599791711107599e+02	8.727214323119981998e+01
1.577889447236180853e+00	4.451947236180903644e+01	-6.932644380528357431e+01	1.236295802970148827e+02	-1.266331658291457529e+02	-1.176585843066663557e+02	8.524255850489288378e+01
1.587939698492462304e+00	4.345948492462309787e+01	-6.767581419087207451e+01	1.206860188613716502e+02	-1.236180904522613133e+02	-1.148571894422220510e+02	8.321297377858591915e+01
1.597989949748743754e+00	4.239949748743715929e+01	-6.602518457646053207e+01	1.177424574257284462e+02	-1.206030150753768453e+02	-1.120557945777776041e+02	8.118338905227882663e+01
1.608040201005025205e+00	4.133951005025122782e+01	-6.437455496204900385e+01	1.147988959900851853e+02	-1.175879396984924341e+02	-1.092543997133330578e+02	7.915380432597183358e+01
1.618090452261306655e+00	4.027952261306529635e+01	-6.272392534763748984e+01	1.118553345544420239e+02	-1.145728643216079945e+02	-1.064530048488885967e+02	7.712421959966494001e+01
1.628140703517587884e+00	3.921953517587938620e+01	-6.107329573322600424e+01	1.089117731187988483e+02	-1.115577889447236117e+02	-1.036516099844442351e+02	7.509463487335798959e+01
